system,token,crowbar_config,setting
C6100,0x4022,default,"Force PXE boot before any other boot devices"
C6100,0x4823,default,"Force the BMC to use the dedicated NIC"
C6100,0x4825,default,"Force the BMC to use DHCP"
C6100,IOAT2,default,enabled
C6100,NUMA_support,default,enabled
C6100,SR_IOV_support,virt,enabled
C6100,active_processor_cores,default,all
C6100,execute_disable_bit,default,enabled
C6100,hyperthreading_tech,default,enabled
C6100,intel_QPI_bandwidth_priority,default,compute
C6100,intel_QPI_bandwidth_priority,storage,io
C6100,ipmi_detection,default,enabled
C6100,nic1_option_rom,default,enabled
C6100,nic2_option_rom,default,enabled
C6100,nic_function_support,default,pxe
C6100,quick_boot,default,enabled
C6100,quiet_boot,default,disabled
C6100,restore_on_ac_power_loss,default,power_on
C6100,video_enumeration,default,onboard
C6100,virtualization_tech,default,enabled
C6100,virtualization_tech,storage,disabled
C6100,wait_for_f1_if_error,default,disabled
PowerEdgeC2100,0x0251,default,"The first NIC is used for PXE boot, followed by NIC2"
PowerEdgeC2100,0x480e,default,"Use dedicated BMC lan port"
PowerEdgeC2100,0x4810,default,"Force BMC to use DHCP"
PowerEdgeC2100,NUMA_support,default,enabled
PowerEdgeC2100,SR_IOV_supported,virt,enabled
PowerEdgeC2100,active_processor_cores,default,all
PowerEdgeC2100,execute_disable_bit,default,enabled
PowerEdgeC2100,force_pxe_first,default,enabled
PowerEdgeC2100,hyperthreading_tech,default,enabled
PowerEdgeC2100,intel_QPI_bandwidth_priority,default,compute
PowerEdgeC2100,intel_QPI_bandwidth_priority,storage,io
PowerEdgeC2100,intel_VT_d,virt,enabled
PowerEdgeC2100,nic1_kawela,default,enabled_with_pxe
PowerEdgeC2100,nic2_kawela,default,enabled_with_pxe
PowerEdgeC2100,onboard_vga_device,default,enabled
PowerEdgeC2100,quick_boot,default,enabled
PowerEdgeC2100,quiet_boot,default,disabled
PowerEdgeC2100,restore_on_ac_power_loss,default,power_on
PowerEdgeC2100,usb_2.0_controller,default,enabled
PowerEdgeC2100,virtualization_tech,default,enabled
PowerEdgeC2100,virtualization_tech,storage,disabled
PowerEdgeC2100,wait_for_f1_if_error,default,disabled
PowerEdgeC6105,0x0087,default,"The onboard video controller is used for boot-time messages."
PowerEdgeC6105,0x0251,default,"The first NIC is used for PXE boot, followed by NIC2"
PowerEdgeC6105,0x480e,default,"Force the BMC to use the dedicated NIC port."
PowerEdgeC6105,0x4810,default,"Force the BMC to use DHCP"
PowerEdgeC6105,acpi_srat_table,default,enabled
PowerEdgeC6105,cs_sparing_enable,default,disabled
PowerEdgeC6105,force_pxe_first,default,enabled
PowerEdgeC6105,iommu,virt,enabled
PowerEdgeC6105,nic1_82576eb,default,enabled_with_pxe
PowerEdgeC6105,nic2_82576eb,default,enabled_with_pxe
PowerEdgeC6105,quick_boot,default,enabled
PowerEdgeC6105,quiet_boot,default,disabled
PowerEdgeC6105,restore_on_ac_power_loss,default,power_on
PowerEdgeC6105,secure_virtual_machine_mode,virt,enabled
PowerEdgeC6105,sr_iov_supported,virt,enabled
PowerEdgeC6105,wait_for_f1_if_error,default,disabled
PowerEdgeC6145,SR_IOV_support,storage,disabled
PowerEdgeC6145,SR_IOV_support,virt,enabled
PowerEdgeC6145,acpi_srat_table,default,enabled
PowerEdgeC6145,cs_sparing_enable,default,disabled
PowerEdgeC6145,force_pxe_first,default,enabled
PowerEdgeC6145,iommu,storage,disabled
PowerEdgeC6145,iommu,virt,enabled
PowerEdgeC6145,ipmi_detection,default,enabled
PowerEdgeC6145,nic1_option_rom,default,enabled
PowerEdgeC6145,nic2_option_rom,default,enabled
PowerEdgeC6145,nic_function_support,default,pxe
PowerEdgeC6145,onboard_vga_device,default,enabled
PowerEdgeC6145,quick_boot,default,disabled
PowerEdgeC6145,quiet_boot,default,disabled
PowerEdgeC6145,restore_on_ac_power_loss,default,power_on
PowerEdgeC6145,secure_virtual_machine_mode,storage,disabled
PowerEdgeC6145,secure_virtual_machine_mode,virt,enabled
PowerEdgeC6145,video_enumeration,default,onboard
PowerEdgeC6145,wait_for_f1_if_error,default,disabled
PowerEdgeC6220,acpi_spmi_table,default,enabled
PowerEdgeC6220,active_processor_cores,default,all_cores
PowerEdgeC6220,adjacent_cache_line_prefetch,default,enabled
PowerEdgeC6220,boot_device_1,default,network
PowerEdgeC6220,boot_device_2,default,raid
PowerEdgeC6220,boot_device_3,default,hard_disk
PowerEdgeC6220,boot_mode,default,uefi
PowerEdgeC6220,c1e_state,default,enabled
PowerEdgeC6220,c6_state,default,enabled
PowerEdgeC6220,c7_state,default,enabled
PowerEdgeC6220,chassis_level_policy,default,power_off
PowerEdgeC6220,cstates,default,enabled
PowerEdgeC6220,dcu_ip_prefetcher,default,enabled
PowerEdgeC6220,dcu_streamer_prefetcher,default,enabled
PowerEdgeC6220,direct_cache_access,default,enabled
PowerEdgeC6220,embedded_nic1,default,enabled_with_pxe
PowerEdgeC6220,embedded_nic2,default,enabled_with_pxe
PowerEdgeC6220,embedded_sata_controller,default,ahci
PowerEdgeC6220,embedded_sata_link_rate,default,auto
PowerEdgeC6220,embedded_video_controller,default,enabled
PowerEdgeC6220,energy_efficient_policy,default,performance
PowerEdgeC6220,force_pxe_boot_only,default,disabled
PowerEdgeC6220,frequency_ratio,default,auto
PowerEdgeC6220,hardware_prefetcher,default,enabled
PowerEdgeC6220,hyperthreading_technology,default,enabled
PowerEdgeC6220,ioat_dma_engine,default,enabled
PowerEdgeC6220,memory_frequency,default,auto
PowerEdgeC6220,memory_operating_voltage,default,auto
PowerEdgeC6220,memory_throttling_mode,default,disabled
PowerEdgeC6220,memory_turbo_mode,default,enabled
PowerEdgeC6220,mezzanine_slot_aspm,default,disabled
PowerEdgeC6220,nbsb_link_aspm,default,disabled
PowerEdgeC6220,nic_enumeration,default,onboard
PowerEdgeC6220,onboard_lan_aspm,default,disabled
PowerEdgeC6220,pause_on_errors,default,disabled
PowerEdgeC6220,pcie_generation,default,gen3
PowerEdgeC6220,pcie_slot_aspm,default,disabled
PowerEdgeC6220,power_button,default,enabled
PowerEdgeC6220,power_management,default,maximum_performance
PowerEdgeC6220,power_saving_features,default,disabled
PowerEdgeC6220,qpi_frequency,default,auto
PowerEdgeC6220,quiet_boot,default,enabled
PowerEdgeC6220,restore_on_ac_power_loss,default,last_state
PowerEdgeC6220,sata_port0,default,auto
PowerEdgeC6220,sata_port1,default,auto
PowerEdgeC6220,sata_port2,default,auto
PowerEdgeC6220,sata_port3,default,auto
PowerEdgeC6220,sata_port4,default,auto
PowerEdgeC6220,sata_port5,default,auto
PowerEdgeC6220,sled_level_policy,default,chassis_level
PowerEdgeC6220,sriov_global_enable,storage,disabled
PowerEdgeC6220,sriov_global_enable,virt,enabled
PowerEdgeC6220,turbo_mode,default,enabled
PowerEdgeC6220,virtualization_technology,storage,disabled
PowerEdgeC6220,virtualization_technology,virt,enabled
PowerEdgeC6220,vt_for_direct_io,storage,disabled
PowerEdgeC6220,vt_for_direct_io,virt,enabled
PowerEdgeC8220,acpi_spmi_table,default,enabled
PowerEdgeC8220,active_processor_cores,default,all_cores
PowerEdgeC8220,adjacent_cache_line_prefetch,default,enabled
PowerEdgeC8220,boot_device_1,default,network
PowerEdgeC8220,boot_device_2,default,raid
PowerEdgeC8220,boot_device_3,default,hard_disk
PowerEdgeC8220,boot_mode,default,bios
PowerEdgeC8220,c1e_state,default,enabled
PowerEdgeC8220,c6_state,default,enabled
PowerEdgeC8220,c7_state,default,enabled
PowerEdgeC8220,chassis_level_policy,default,power_off
PowerEdgeC8220,cstates,default,enabled
PowerEdgeC8220,dcu_ip_prefetcher,default,enabled
PowerEdgeC8220,dcu_streamer_prefetcher,default,enabled
PowerEdgeC8220,direct_cache_access,default,enabled
PowerEdgeC8220,embedded_nic1,default,enabled_with_pxe
PowerEdgeC8220,embedded_nic2,default,enabled_with_pxe
PowerEdgeC8220,embedded_sata_controller,default,off
PowerEdgeC8220,embedded_sata_controller,storage,off
PowerEdgeC8220,embedded_sata_controller,virt,off
PowerEdgeC8220,embedded_sata_link_rate,default,auto
PowerEdgeC8220,embedded_video_controller,default,enabled
PowerEdgeC8220,energy_efficient_policy,default,performance
PowerEdgeC8220,force_pxe_boot_only,default,disabled
PowerEdgeC8220,frequency_ratio,default,auto
PowerEdgeC8220,hardware_prefetcher,default,enabled
PowerEdgeC8220,hyperthreading_technology,default,enabled
PowerEdgeC8220,ioat_dma_engine,default,enabled
PowerEdgeC8220,memory_frequency,default,auto
PowerEdgeC8220,memory_operating_voltage,default,auto
PowerEdgeC8220,memory_throttling_mode,default,disabled
PowerEdgeC8220,memory_turbo_mode,default,enabled
PowerEdgeC8220,mezzanine_slot_aspm,default,disabled
PowerEdgeC8220,nbsb_link_aspm,default,disabled
PowerEdgeC8220,nic_enumeration,default,onboard
PowerEdgeC8220,onboard_lan_aspm,default,disabled
PowerEdgeC8220,pause_on_errors,default,disabled
PowerEdgeC8220,pcie_generation,default,gen3
PowerEdgeC8220,pcie_slot_aspm,default,disabled
PowerEdgeC8220,power_button,default,enabled
PowerEdgeC8220,power_management,default,maximum_performance
PowerEdgeC8220,power_saving_features,default,disabled
PowerEdgeC8220,qpi_frequency,default,auto
PowerEdgeC8220,quiet_boot,default,enabled
PowerEdgeC8220,restore_on_ac_power_loss,default,last_state
PowerEdgeC8220,sata_port0,default,auto
PowerEdgeC8220,sata_port1,default,auto
PowerEdgeC8220,sata_port2,default,auto
PowerEdgeC8220,sata_port3,default,auto
PowerEdgeC8220,sata_port4,default,auto
PowerEdgeC8220,sata_port5,default,auto
PowerEdgeC8220,sled_level_policy,default,chassis_level
PowerEdgeC8220,sriov_global_enable,storage,disabled
PowerEdgeC8220,sriov_global_enable,virt,enabled
PowerEdgeC8220,turbo_mode,default,enabled
PowerEdgeC8220,virtualization_technology,storage,disabled
PowerEdgeC8220,virtualization_technology,virt,enabled
PowerEdgeC8220,vt_for_direct_io,storage,disabled
PowerEdgeC8220,vt_for_direct_io,virt,enabled
